Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
12-Sep-23,EQ,"1,640.00","1,642.90","1,625.05","1,631.80","1,636.00","1,636.90","1,635.47","1,757.50","1,365.00","1,95,16,670","31,91,89,59,857.45","3,10,906"
11-Sep-23,EQ,"1,628.90","1,636.50","1,624.00","1,623.40","1,633.00","1,631.80","1,631.32","1,757.50","1,365.00","1,57,86,511","25,75,28,84,037.25","2,90,843"
08-Sep-23,EQ,"1,608.30","1,632.90","1,607.60","1,610.85","1,623.20","1,623.40","1,619.68","1,757.50","1,365.00","1,72,51,105","27,94,12,56,455.40","2,63,597"
07-Sep-23,EQ,"1,595.50","1,614.00","1,587.15","1,595.50","1,611.00","1,610.85","1,601.67","1,757.50","1,365.00","1,71,04,171","27,39,52,55,131.15","2,82,493"
06-Sep-23,EQ,"1,576.80","1,600.00","1,574.90","1,574.90","1,599.00","1,595.50","1,588.41","1,757.50","1,365.00","2,81,60,455","44,73,03,93,184.30","3,94,705"
05-Sep-23,EQ,"1,588.40","1,588.40","1,570.60","1,584.55","1,575.00","1,574.90","1,576.27","1,757.50","1,365.00","1,93,56,041","30,51,03,14,620.10","4,07,651"
04-Sep-23,EQ,"1,590.00","1,591.45","1,574.90","1,574.70","1,584.50","1,584.55","1,582.03","1,757.50","1,365.00","1,25,36,819","19,83,36,66,505.30","2,36,702"
01-Sep-23,EQ,"1,571.00","1,579.00","1,559.35","1,571.45","1,573.75","1,574.70","1,569.33","1,757.50","1,365.00","2,16,13,388","33,91,85,08,405.30","4,50,304"
31-Aug-23,EQ,"1,579.00","1,583.15","1,563.10","1,578.70","1,577.00","1,571.45","1,570.99","1,757.50","1,365.00","5,00,37,886","78,60,89,31,136.20","4,19,748"
30-Aug-23,EQ,"1,603.95","1,603.95","1,573.70","1,590.30","1,579.00","1,578.70","1,589.56","1,757.50","1,365.00","1,40,42,102","22,32,07,81,696.10","2,97,743"
29-Aug-23,EQ,"1,589.70","1,592.65","1,581.45","1,577.75","1,591.25","1,590.30","1,588.37","1,757.50","1,365.00","1,77,69,466","28,22,44,20,149.05","3,41,561"
28-Aug-23,EQ,"1,561.50","1,582.65","1,561.50","1,561.50","1,578.00","1,577.75","1,574.43","1,757.50","1,365.00","1,44,33,619","22,72,46,92,200.70","2,89,068"
25-Aug-23,EQ,"1,574.55","1,577.50","1,558.40","1,579.30","1,559.20","1,561.50","1,564.93","1,757.50","1,365.00","1,50,34,878","23,52,84,89,943.80","3,50,735"
24-Aug-23,EQ,"1,593.30","1,596.20","1,576.15","1,586.60","1,579.60","1,579.30","1,583.60","1,757.50","1,365.00","2,15,72,896","34,16,27,75,004.65","3,97,769"
23-Aug-23,EQ,"1,580.00","1,590.55","1,573.25","1,582.70","1,588.50","1,586.60","1,581.99","1,757.50","1,365.00","1,82,49,294","28,87,01,23,207.45","3,29,674"
22-Aug-23,EQ,"1,596.35","1,598.00","1,580.00","1,589.50","1,581.45","1,582.70","1,588.09","1,757.50","1,365.00","1,61,36,785","25,62,67,13,594.35","4,20,291"
21-Aug-23,EQ,"1,600.50","1,600.50","1,587.00","1,590.75","1,587.80","1,589.50","1,593.07","1,757.50","1,365.00","1,09,18,635","17,39,41,09,160.45","2,41,780"
18-Aug-23,EQ,"1,587.55","1,596.30","1,585.50","1,597.30","1,588.70","1,590.75","1,590.59","1,757.50","1,365.00","1,28,16,683","20,38,61,33,002.30","2,82,239"
17-Aug-23,EQ,"1,597.60","1,609.90","1,594.00","1,606.20","1,595.00","1,597.30","1,600.21","1,757.50","1,365.00","2,64,42,020","42,31,28,60,300.10","4,00,922"
16-Aug-23,EQ,"1,583.10","1,609.65","1,581.30","1,610.90","1,604.35","1,606.20","1,596.67","1,757.50","1,365.00","1,70,68,771","27,25,31,51,750.90","3,00,850"
14-Aug-23,EQ,"1,611.00","1,615.00","1,600.25","1,618.80","1,608.50","1,610.90","1,608.96","1,757.50","1,365.00","1,56,52,205","25,18,37,94,816.50","3,49,385"
11-Aug-23,EQ,"1,638.40","1,638.40","1,616.20","1,635.85","1,620.90","1,618.80","1,625.76","1,757.50","1,365.00","1,41,12,911","22,94,42,47,784.10","2,71,050"
10-Aug-23,EQ,"1,647.05","1,654.25","1,631.00","1,650.50","1,638.00","1,635.85","1,638.99","1,757.50","1,365.00","2,53,90,559","41,61,49,59,546.45","3,32,263"
09-Aug-23,EQ,"1,653.00","1,654.50","1,631.10","1,649.90","1,652.70","1,650.50","1,640.24","1,757.50","1,365.00","1,66,80,618","27,36,02,30,365.00","2,28,397"
08-Aug-23,EQ,"1,651.70","1,655.60","1,642.05","1,651.25","1,649.00","1,649.90","1,650.13","1,757.50","1,365.00","2,18,86,914","36,11,62,74,511.30","3,00,979"
07-Aug-23,EQ,"1,663.10","1,663.10","1,647.55","1,652.20","1,651.00","1,651.25","1,653.09","1,757.50","1,365.00","1,41,50,459","23,39,19,43,678.55","2,56,889"
04-Aug-23,EQ,"1,635.15","1,656.50","1,629.25","1,628.65","1,652.85","1,652.20","1,641.73","1,757.50","1,365.00","1,86,94,152","30,69,07,12,012.15","3,10,206"
03-Aug-23,EQ,"1,640.00","1,651.35","1,623.00","1,640.50","1,632.60","1,628.65","1,633.08","1,757.50","1,365.00","2,88,36,973","47,09,31,13,412.85","4,39,722"
02-Aug-23,EQ,"1,642.00","1,651.50","1,633.15","1,662.25","1,641.90","1,640.50","1,644.34","1,757.50","1,365.00","1,40,58,161","23,11,63,46,478.45","3,80,609"
01-Aug-23,EQ,"1,654.45","1,667.45","1,650.00","1,651.20","1,660.00","1,662.25","1,659.39","1,757.50","1,365.00","1,76,97,094","29,36,64,53,399.30","3,85,496"
31-Jul-23,EQ,"1,650.05","1,656.80","1,638.70","1,643.50","1,650.00","1,651.20","1,649.01","1,757.50","1,365.00","1,72,82,503","28,49,90,54,865.30","4,34,555"
28-Jul-23,EQ,"1,661.50","1,668.90","1,641.10","1,673.15","1,642.90","1,643.50","1,649.58","1,757.50","1,365.00","2,05,07,842","33,82,93,21,793.55","4,22,378"
27-Jul-23,EQ,"1,699.90","1,703.00","1,667.45","1,690.70","1,676.95","1,673.15","1,681.08","1,757.50","1,365.00","2,98,70,651","50,21,48,60,523.75","5,06,283"
26-Jul-23,EQ,"1,699.60","1,699.60","1,688.00","1,696.60","1,689.30","1,690.70","1,692.97","1,757.50","1,365.00","1,23,97,179","20,98,80,22,760.35","2,51,108"
25-Jul-23,EQ,"1,684.65","1,699.00","1,678.40","1,678.40","1,694.55","1,696.60","1,692.19","1,757.50","1,365.00","2,79,96,298","47,37,50,21,905.75","5,34,396"
24-Jul-23,EQ,"1,678.50","1,684.65","1,670.10","1,675.75","1,679.50","1,678.40","1,677.75","1,757.50","1,365.00","1,60,89,722","26,99,45,70,123.70","2,96,190"
21-Jul-23,EQ,"1,680.00","1,689.80","1,673.25","1,688.75","1,677.75","1,675.75","1,680.80","1,757.50","1,337.00","2,10,77,124","35,42,64,65,573.70","3,37,174"
20-Jul-23,EQ,"1,681.15","1,692.00","1,680.00","1,685.10","1,688.90","1,688.75","1,686.08","1,757.50","1,337.00","2,81,05,474","47,38,80,96,303.30","4,33,278"
